ID,source,Location,Accession_Number,Strain,Country,State,Municipality,latitude,longitude,Host_species,date
New_NHP|2784|Brazil|SP|SaoPaulo_borderPEAL_PM|Alouatta|2018-01-02,This_study,New_Other,New_NHP,2784,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2018-01-02
New_NHP|2786|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23,This_study,SaoPaulo_PEAL,New_NHP,2786,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|2877|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27,This_study,SaoPaulo_PEAL,New_NHP,2877,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-27
New_NHP|3202|Brazil|SP|SaoPaulo_North|Alouatta|2018-01-15,This_study,New_Other,New_NHP,3202,Brazil,SP,Sao_Paulo,-23.4454264,-46.5964362,Alouatta guariba clamitans,2018-01-15
New_NHP|73553|Brazil|SP|SaoPaulo|73553|Alouatta|2017-11-25,This_study,New_Other,New_NHP,73553,Brazil,SP,Sao_Paulo,-23.3668848,-46.6136934,Alouatta guariba clamitans,2017-11-25
New_NHP|73635|Brazil|SP|Mairipora|Alouatta|2017-11-28,This_study,New_Other,New_NHP,73635,Brazil,SP,Mairipora,-23.3663779,-46.6125439,Alouatta guariba clamitans,2017-11-28
New_NHP|73816|Brazil|SP|SaoPaulo|Alouatta|2017-12-05,This_study,New_Other,New_NHP,73816,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-05
New_NHP|73820|Brazil|SP|SaoPaulo|Alouatta|2017-12-05,This_study,New_Other,New_NHP,73820,Brazil,SP,Sao_Paulo,-23.4545195,-46.6235704,Alouatta guariba clamitans,2017-12-05
New_NHP|73821|Brazil|SP|SaoPaulo|Alouatta|2017-12-05,This_study,New_Other,New_NHP,73821,Brazil,SP,Sao_Paulo,-23.4545195,-46.6235704,Alouatta guariba clamitans,2017-12-05
New_NHP|73941|Brazil|SP|SaoPaulo|Alouatta|2017-12-08,This_study,New_Other,New_NHP,73941,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-08
New_NHP|73943|Brazil|SP|SaoPaulo|Alouatta|2017-12-08,This_study,New_Other,New_NHP,73943,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-08
New_NHP|73946|Brazil|SP|Mairipora|Alouatta|2017-12-08,This_study,New_Other,New_NHP,73946,Brazil,SP,Mairipora,-23.4214045,-46.6215058,Alouatta guariba clamitans,2017-12-08
New_NHP|74142|Brazil|SP|SaoPaulo|Alouatta|2017-12-19,This_study,New_Other,New_NHP,74142,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-19
New_NHP|74213|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-15,This_study,SaoPaulo_PEAL,New_NHP,74213,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-15
New_NHP|74300|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-18,This_study,SaoPaulo_PEAL,New_NHP,74300,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-18
New_NHP|74301|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19,This_study,SaoPaulo_PEAL,New_NHP,74301,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-19
New_NHP|74327|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20,This_study,SaoPaulo_PEAL,New_NHP,74327,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-20
New_NHP|74329|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20,This_study,SaoPaulo_PEAL,New_NHP,74329,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-20
New_NHP|74342|Brazil|SP|SaoPaulo|Alouatta|2017-12-27,This_study,New_Other,New_NHP,74342,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-27
New_NHP|74347|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,74347,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-21
New_NHP|74348|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,74348,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-21
New_NHP|74405|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22,This_study,SaoPaulo_PEAL,New_NHP,74405,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-22
New_NHP|74417|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74417,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74418|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74418,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74419|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74419,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74427|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-25,This_study,SaoPaulo_PEAL,New_NHP,74427,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-25
New_NHP|74454|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23,This_study,SaoPaulo_PEAL,New_NHP,74454,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|74456|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26,This_study,SaoPaulo_PEAL,New_NHP,74456,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-26
New_NHP|74513|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27,This_study,SaoPaulo_PEAL,New_NHP,74513,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-27
New_NHP|74631|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-28,This_study,SaoPaulo_PEAL,New_NHP,74631,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-28
New_NHP|74632|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-10-29,This_study,SaoPaulo_PEAL,New_NHP,74632,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-10-29
New_NHP|74647|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-31,This_study,SaoPaulo_PEAL,New_NHP,74647,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-31
New_NHP|74649|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-31,This_study,SaoPaulo_PEAL,New_NHP,74649,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-31
New_NHP|74718|Brazil|SP|SaoPaulo|Alouatta|2018-01-03,This_study,New_Other,New_NHP,74718,Brazil,SP,Sao_Paulo,-23.4557207,-46.6197139,Alouatta guariba clamitans,2018-01-03
New_NHP|74747|Brazil|SP|SaoPaulo|Alouatta|2018-01-04,This_study,New_Other,New_NHP,74747,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2018-01-04
New_NHP|74748|Brazil|SP|SaoPaulo|Alouatta|2018-01-04,This_study,New_Other,New_NHP,74748,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2018-01-04
New_NHP|74749|Brazil|SP|SaoPauloL|Alouatta|2018-01-04,This_study,New_Other,New_NHP,74749,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2018-01-04
New_NHP|74786|Brazil|SP|SaoPaulo_PEAL|Alouatta|2018-01-03,This_study,SaoPaulo_PEAL,New_NHP,74786,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2018-01-03
New_NHP|74787|Brazil|SP|SaoPaulo_PEAL|Alouatta|2018-01-03,This_study,SaoPaulo_PEAL,New_NHP,74787,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2018-01-03
New_NHP|75358|Brazil|SP|Mairipora|Callithrix_aurita|2018-01-24,This_study,New_Other,New_NHP,75358,Brazil,SP,Mairipora,-23.4214045,-46.6215058,Callithrix aurita,2018-01-24
